ds,Ward,y
2017-10-01,Barnet Vale Ward,16
2017-11-01,Barnet Vale Ward,24
2017-12-01,Barnet Vale Ward,16
2018-01-01,Barnet Vale Ward,15
2018-02-01,Barnet Vale Ward,17
2018-03-01,Barnet Vale Ward,17
2018-04-01,Barnet Vale Ward,16
2018-05-01,Barnet Vale Ward,18
2018-06-01,Barnet Vale Ward,15
2018-07-01,Barnet Vale Ward,18
2018-08-01,Barnet Vale Ward,16
2018-09-01,Barnet Vale Ward,11
2018-10-01,Barnet Vale Ward,13
2018-11-01,Barnet Vale Ward,15
2018-12-01,Barnet Vale Ward,17
2019-01-01,Barnet Vale Ward,15
2019-02-01,Barnet Vale Ward,19
2019-03-01,Barnet Vale Ward,15
2019-04-01,Barnet Vale Ward,16
2019-05-01,Barnet Vale Ward,26
2019-06-01,Barnet Vale Ward,21
2019-07-01,Barnet Vale Ward,18
2019-08-01,Barnet Vale Ward,18
2019-09-01,Barnet Vale Ward,16
2019-10-01,Barnet Vale Ward,19
2019-11-01,Barnet Vale Ward,25
2019-12-01,Barnet Vale Ward,22
2020-01-01,Barnet Vale Ward,15
2020-02-01,Barnet Vale Ward,15
2020-03-01,Barnet Vale Ward,15
2020-04-01,Barnet Vale Ward,10
2020-05-01,Barnet Vale Ward,15
2020-06-01,Barnet Vale Ward,13
2020-07-01,Barnet Vale Ward,13
2020-08-01,Barnet Vale Ward,11
2020-09-01,Barnet Vale Ward,12
2020-10-01,Barnet Vale Ward,14
2020-11-01,Barnet Vale Ward,19
2020-12-01,Barnet Vale Ward,20
2021-01-01,Barnet Vale Ward,15
2021-02-01,Barnet Vale Ward,15
2021-03-01,Barnet Vale Ward,15
2021-04-01,Barnet Vale Ward,10
2021-05-01,Barnet Vale Ward,15
2021-06-01,Barnet Vale Ward,13
2021-07-01,Barnet Vale Ward,13
2021-08-01,Barnet Vale Ward,11
2021-09-01,Barnet Vale Ward,12
2021-10-01,Barnet Vale Ward,14
2021-11-01,Barnet Vale Ward,19
2021-12-01,Barnet Vale Ward,20
2022-01-01,Barnet Vale Ward,16
2022-02-01,Barnet Vale Ward,18
2022-03-01,Barnet Vale Ward,18
2022-04-01,Barnet Vale Ward,16
2022-05-01,Barnet Vale Ward,16
2022-06-01,Barnet Vale Ward,17
2022-07-01,Barnet Vale Ward,20
2022-08-01,Barnet Vale Ward,16
2022-09-01,Barnet Vale Ward,15
2022-10-01,Barnet Vale Ward,18
2022-11-01,Barnet Vale Ward,13
2022-12-01,Barnet Vale Ward,17
2023-01-01,Barnet Vale Ward,20
2023-02-01,Barnet Vale Ward,20
2010-12-01,Brunswick Park Ward,17
2011-01-01,Brunswick Park Ward,17
2011-02-01,Brunswick Park Ward,24
2011-03-01,Brunswick Park Ward,20
2011-04-01,Brunswick Park Ward,18
2011-05-01,Brunswick Park Ward,32
2011-06-01,Brunswick Park Ward,22
2011-07-01,Brunswick Park Ward,19
2011-08-01,Brunswick Park Ward,17
2011-09-01,Brunswick Park Ward,18
2011-10-01,Brunswick Park Ward,22
2011-11-01,Brunswick Park Ward,30
2011-12-01,Brunswick Park Ward,23
2012-01-01,Brunswick Park Ward,19
2012-02-01,Brunswick Park Ward,30
2012-03-01,Brunswick Park Ward,27
2012-04-01,Brunswick Park Ward,19
2012-05-01,Brunswick Park Ward,20
2012-06-01,Brunswick Park Ward,16
2012-07-01,Brunswick Park Ward,15
2012-08-01,Brunswick Park Ward,18
2012-09-01,Brunswick Park Ward,16
2012-10-01,Brunswick Park Ward,21
2012-11-01,Brunswick Park Ward,29
2012-12-01,Brunswick Park Ward,22
2013-01-01,Brunswick Park Ward,30
2013-02-01,Brunswick Park Ward,27
2013-03-01,Brunswick Park Ward,22
2013-04-01,Brunswick Park Ward,20
2013-05-01,Brunswick Park Ward,16
2013-06-01,Brunswick Park Ward,16
2013-07-01,Brunswick Park Ward,16
2013-08-01,Brunswick Park Ward,19
2013-09-01,Brunswick Park Ward,18
2013-10-01,Brunswick Park Ward,28
2013-11-01,Brunswick Park Ward,32
2013-12-01,Brunswick Park Ward,30
2014-01-01,Brunswick Park Ward,19
2014-02-01,Brunswick Park Ward,20
2014-03-01,Brunswick Park Ward,23
2014-04-01,Brunswick Park Ward,18
2014-05-01,Brunswick Park Ward,17
2014-06-01,Brunswick Park Ward,20
2014-07-01,Brunswick Park Ward,16
2014-08-01,Brunswick Park Ward,18
2014-09-01,Brunswick Park Ward,28
2014-10-01,Brunswick Park Ward,23
2014-11-01,Brunswick Park Ward,23
2014-12-01,Brunswick Park Ward,18
2015-01-01,Brunswick Park Ward,20
2015-02-01,Brunswick Park Ward,21
2015-03-01,Brunswick Park Ward,15
2015-04-01,Brunswick Park Ward,17
2015-05-01,Brunswick Park Ward,15
2015-06-01,Brunswick Park Ward,18
2015-07-01,Brunswick Park Ward,14
2015-08-01,Brunswick Park Ward,11
2015-09-01,Brunswick Park Ward,20
2015-10-01,Brunswick Park Ward,18
2015-11-01,Brunswick Park Ward,26
2015-12-01,Brunswick Park Ward,19
2016-01-01,Brunswick Park Ward,16
2016-02-01,Brunswick Park Ward,19
2016-03-01,Brunswick Park Ward,22
2016-04-01,Brunswick Park Ward,19
2016-05-01,Brunswick Park Ward,19
2016-06-01,Brunswick Park Ward,19
2016-07-01,Brunswick Park Ward,16
2016-08-01,Brunswick Park Ward,19
2016-09-01,Brunswick Park Ward,19
2016-10-01,Brunswick Park Ward,19
2016-11-01,Brunswick Park Ward,14
2016-12-01,Brunswick Park Ward,17
2017-01-01,Brunswick Park Ward,17
2017-02-01,Brunswick Park Ward,18
2017-03-01,Brunswick Park Ward,16
2017-04-01,Brunswick Park Ward,16
2017-05-01,Brunswick Park Ward,16
2017-06-01,Brunswick Park Ward,13
2017-07-01,Brunswick Park Ward,18
2017-08-01,Brunswick Park Ward,24
2017-09-01,Brunswick Park Ward,17
2017-10-01,Brunswick Park Ward,18
2017-11-01,Brunswick Park Ward,22
2017-12-01,Brunswick Park Ward,22
2018-01-01,Brunswick Park Ward,15
2018-02-01,Brunswick Park Ward,16
2018-03-01,Brunswick Park Ward,21
2018-04-01,Brunswick Park Ward,16
2018-05-01,Brunswick Park Ward,17
2018-06-01,Brunswick Park Ward,18
2018-07-01,Brunswick Park Ward,23
2018-08-01,Brunswick Park Ward,16
2018-09-01,Brunswick Park Ward,18
2018-10-01,Brunswick Park Ward,20
2018-11-01,Brunswick Park Ward,17
2018-12-01,Brunswick Park Ward,14
2019-01-01,Brunswick Park Ward,22
2019-02-01,Brunswick Park Ward,19
2019-03-01,Brunswick Park Ward,15
2019-04-01,Brunswick Park Ward,11
2019-05-01,Brunswick Park Ward,15
2019-06-01,Brunswick Park Ward,15
2019-07-01,Brunswick Park Ward,15
2019-08-01,Brunswick Park Ward,17
2019-09-01,Brunswick Park Ward,15
2019-10-01,Brunswick Park Ward,13
2019-11-01,Brunswick Park Ward,17
2019-12-01,Brunswick Park Ward,21
2020-01-01,Brunswick Park Ward,15
2020-02-01,Brunswick Park Ward,17
2020-03-01,Brunswick Park Ward,17
2020-04-01,Brunswick Park Ward,12
2020-05-01,Brunswick Park Ward,15
2020-06-01,Brunswick Park Ward,12
2020-07-01,Brunswick Park Ward,14
2020-08-01,Brunswick Park Ward,14
2020-09-01,Brunswick Park Ward,17
2020-10-01,Brunswick Park Ward,15
2020-11-01,Brunswick Park Ward,19
2020-12-01,Brunswick Park Ward,17
2021-01-01,Brunswick Park Ward,15
2021-02-01,Brunswick Park Ward,17
2021-03-01,Brunswick Park Ward,17
2021-04-01,Brunswick Park Ward,12
2021-05-01,Brunswick Park Ward,15
2021-06-01,Brunswick Park Ward,12
2021-07-01,Brunswick Park Ward,14
2021-08-01,Brunswick Park Ward,14
2021-09-01,Brunswick Park Ward,17
2021-10-01,Brunswick Park Ward,15
2021-11-01,Brunswick Park Ward,19
2021-12-01,Brunswick Park Ward,17
2022-01-01,Brunswick Park Ward,15
2022-02-01,Brunswick Park Ward,19
2022-03-01,Brunswick Park Ward,20
2022-04-01,Brunswick Park Ward,16
2022-05-01,Brunswick Park Ward,18
2022-06-01,Brunswick Park Ward,15
2022-07-01,Brunswick Park Ward,14
2022-08-01,Brunswick Park Ward,17
2022-09-01,Brunswick Park Ward,19
2022-10-01,Brunswick Park Ward,16
2022-11-01,Brunswick Park Ward,13
2022-12-01,Brunswick Park Ward,16
2023-01-01,Brunswick Park Ward,14
2023-02-01,Brunswick Park Ward,24
2010-12-01,Burnt Oak Ward,16
2011-01-01,Burnt Oak Ward,14
2011-02-01,Burnt Oak Ward,14
2011-03-01,Burnt Oak Ward,12
2011-04-01,Burnt Oak Ward,17
2011-05-01,Burnt Oak Ward,21
2011-06-01,Burnt Oak Ward,17
2011-07-01,Burnt Oak Ward,16
2011-08-01,Burnt Oak Ward,18
2011-09-01,Burnt Oak Ward,14
2011-10-01,Burnt Oak Ward,11
2011-11-01,Burnt Oak Ward,15
2011-12-01,Burnt Oak Ward,16
2012-01-01,Burnt Oak Ward,22
2012-02-01,Burnt Oak Ward,20
2012-03-01,Burnt Oak Ward,21
2012-04-01,Burnt Oak Ward,14
2012-05-01,Burnt Oak Ward,20
2012-06-01,Burnt Oak Ward,13
2012-07-01,Burnt Oak Ward,16
2012-08-01,Burnt Oak Ward,15
2012-09-01,Burnt Oak Ward,16
2012-10-01,Burnt Oak Ward,21
2012-11-01,Burnt Oak Ward,21
2012-12-01,Burnt Oak Ward,15
2013-01-01,Burnt Oak Ward,14
2013-02-01,Burnt Oak Ward,15
2013-03-01,Burnt Oak Ward,31
2013-04-01,Burnt Oak Ward,23
2013-05-01,Burnt Oak Ward,17
2013-06-01,Burnt Oak Ward,16
2013-07-01,Burnt Oak Ward,28
2013-08-01,Burnt Oak Ward,22
2013-09-01,Burnt Oak Ward,24
2013-10-01,Burnt Oak Ward,17
2013-11-01,Burnt Oak Ward,17
2013-12-01,Burnt Oak Ward,23
2014-01-01,Burnt Oak Ward,23
2014-02-01,Burnt Oak Ward,17
2014-03-01,Burnt Oak Ward,22
2014-04-01,Burnt Oak Ward,21
2014-05-01,Burnt Oak Ward,17
2014-06-01,Burnt Oak Ward,14
2014-07-01,Burnt Oak Ward,20
2014-08-01,Burnt Oak Ward,17
2014-09-01,Burnt Oak Ward,22
2014-10-01,Burnt Oak Ward,11
2014-11-01,Burnt Oak Ward,16
2014-12-01,Burnt Oak Ward,15
2015-01-01,Burnt Oak Ward,16
2015-02-01,Burnt Oak Ward,13
2015-03-01,Burnt Oak Ward,17
2015-04-01,Burnt Oak Ward,19
2015-05-01,Burnt Oak Ward,19
2015-06-01,Burnt Oak Ward,19
2015-07-01,Burnt Oak Ward,12
2015-08-01,Burnt Oak Ward,16
2015-09-01,Burnt Oak Ward,22
2015-10-01,Burnt Oak Ward,17
2015-11-01,Burnt Oak Ward,18
2015-12-01,Burnt Oak Ward,20
2016-01-01,Burnt Oak Ward,18
2016-02-01,Burnt Oak Ward,25
2016-03-01,Burnt Oak Ward,16
2016-04-01,Burnt Oak Ward,14
2016-05-01,Burnt Oak Ward,11
2016-06-01,Burnt Oak Ward,13
2016-07-01,Burnt Oak Ward,22
2016-08-01,Burnt Oak Ward,17
2016-09-01,Burnt Oak Ward,19
2016-10-01,Burnt Oak Ward,18
2016-11-01,Burnt Oak Ward,25
2016-12-01,Burnt Oak Ward,19
2017-01-01,Burnt Oak Ward,20
2017-02-01,Burnt Oak Ward,13
2017-03-01,Burnt Oak Ward,19
2017-04-01,Burnt Oak Ward,22
2017-05-01,Burnt Oak Ward,12
2017-06-01,Burnt Oak Ward,15
2017-07-01,Burnt Oak Ward,18
2017-08-01,Burnt Oak Ward,18
2017-09-01,Burnt Oak Ward,16
2017-10-01,Burnt Oak Ward,16
2017-11-01,Burnt Oak Ward,20
2017-12-01,Burnt Oak Ward,16
2018-01-01,Burnt Oak Ward,13
2018-02-01,Burnt Oak Ward,14
2018-03-01,Burnt Oak Ward,18
2018-04-01,Burnt Oak Ward,21
2018-05-01,Burnt Oak Ward,14
2018-06-01,Burnt Oak Ward,19
2018-07-01,Burnt Oak Ward,12
2018-08-01,Burnt Oak Ward,16
2018-09-01,Burnt Oak Ward,16
2018-10-01,Burnt Oak Ward,18
2018-11-01,Burnt Oak Ward,16
2018-12-01,Burnt Oak Ward,19
2019-01-01,Burnt Oak Ward,25
2019-02-01,Burnt Oak Ward,29
2019-03-01,Burnt Oak Ward,21
2019-04-01,Burnt Oak Ward,17
2019-05-01,Burnt Oak Ward,14
2019-06-01,Burnt Oak Ward,12
2019-07-01,Burnt Oak Ward,13
2019-08-01,Burnt Oak Ward,12
2019-09-01,Burnt Oak Ward,19
2019-10-01,Burnt Oak Ward,19
2019-11-01,Burnt Oak Ward,19
2019-12-01,Burnt Oak Ward,28
2020-01-01,Burnt Oak Ward,13
2020-02-01,Burnt Oak Ward,16
2020-03-01,Burnt Oak Ward,16
2020-04-01,Burnt Oak Ward,16
2020-05-01,Burnt Oak Ward,13
2020-06-01,Burnt Oak Ward,12
2020-07-01,Burnt Oak Ward,16
2020-08-01,Burnt Oak Ward,14
2020-09-01,Burnt Oak Ward,15
2020-10-01,Burnt Oak Ward,12
2020-11-01,Burnt Oak Ward,16
2020-12-01,Burnt Oak Ward,16
2021-01-01,Burnt Oak Ward,13
2021-02-01,Burnt Oak Ward,16
2021-03-01,Burnt Oak Ward,16
2021-04-01,Burnt Oak Ward,16
2021-05-01,Burnt Oak Ward,13
2021-06-01,Burnt Oak Ward,12
2021-07-01,Burnt Oak Ward,16
2021-08-01,Burnt Oak Ward,14
2021-09-01,Burnt Oak Ward,15
2021-10-01,Burnt Oak Ward,12
2021-11-01,Burnt Oak Ward,16
2021-12-01,Burnt Oak Ward,16
2022-01-01,Burnt Oak Ward,15
2022-02-01,Burnt Oak Ward,18
2022-03-01,Burnt Oak Ward,15
2022-04-01,Burnt Oak Ward,15
2022-05-01,Burnt Oak Ward,19
2022-06-01,Burnt Oak Ward,22
2022-07-01,Burnt Oak Ward,16
2022-08-01,Burnt Oak Ward,15
2022-09-01,Burnt Oak Ward,13
2022-10-01,Burnt Oak Ward,14
2022-11-01,Burnt Oak Ward,18
2022-12-01,Burnt Oak Ward,18
2023-01-01,Burnt Oak Ward,17
2023-02-01,Burnt Oak Ward,15
2010-12-01,Childs Hill Ward,24
2011-01-01,Childs Hill Ward,44
2011-02-01,Childs Hill Ward,26
2011-03-01,Childs Hill Ward,33
2011-04-01,Childs Hill Ward,43
2011-05-01,Childs Hill Ward,39
2011-06-01,Childs Hill Ward,42
2011-07-01,Childs Hill Ward,27
2011-08-01,Childs Hill Ward,36
2011-09-01,Childs Hill Ward,23
2011-10-01,Childs Hill Ward,28
2011-11-01,Childs Hill Ward,36
2011-12-01,Childs Hill Ward,33
2012-01-01,Childs Hill Ward,29
2012-02-01,Childs Hill Ward,34
2012-03-01,Childs Hill Ward,28
2012-04-01,Childs Hill Ward,20
2012-05-01,Childs Hill Ward,22
2012-06-01,Childs Hill Ward,34
2012-07-01,Childs Hill Ward,30
2012-08-01,Childs Hill Ward,30
2012-09-01,Childs Hill Ward,18
2012-10-01,Childs Hill Ward,26
2012-11-01,Childs Hill Ward,43
2012-12-01,Childs Hill Ward,27
2013-01-01,Childs Hill Ward,32
2013-02-01,Childs Hill Ward,21
2013-03-01,Childs Hill Ward,34
2013-04-01,Childs Hill Ward,28
2013-05-01,Childs Hill Ward,21
2013-06-01,Childs Hill Ward,24
2013-07-01,Childs Hill Ward,22
2013-08-01,Childs Hill Ward,27
2013-09-01,Childs Hill Ward,20
2013-10-01,Childs Hill Ward,20
2013-11-01,Childs Hill Ward,28
2013-12-01,Childs Hill Ward,27
2014-01-01,Childs Hill Ward,21
2014-02-01,Childs Hill Ward,27
2014-03-01,Childs Hill Ward,36
2014-04-01,Childs Hill Ward,21
2014-05-01,Childs Hill Ward,26
2014-06-01,Childs Hill Ward,23
2014-07-01,Childs Hill Ward,29
2014-08-01,Childs Hill Ward,25
2014-09-01,Childs Hill Ward,32
2014-10-01,Childs Hill Ward,25
2014-11-01,Childs Hill Ward,30
2014-12-01,Childs Hill Ward,25
2015-01-01,Childs Hill Ward,33
2015-02-01,Childs Hill Ward,37
2015-03-01,Childs Hill Ward,27
2015-04-01,Childs Hill Ward,29
2015-05-01,Childs Hill Ward,32
2015-06-01,Childs Hill Ward,24
2015-07-01,Childs Hill Ward,28
2015-08-01,Childs Hill Ward,22
2015-09-01,Childs Hill Ward,21
2015-10-01,Childs Hill Ward,27
2015-11-01,Childs Hill Ward,34
2015-12-01,Childs Hill Ward,32
2016-01-01,Childs Hill Ward,26
2016-02-01,Childs Hill Ward,29
2016-03-01,Childs Hill Ward,21
2016-04-01,Childs Hill Ward,18
2016-05-01,Childs Hill Ward,25
2016-06-01,Childs Hill Ward,26
2016-07-01,Childs Hill Ward,20
2016-08-01,Childs Hill Ward,31
2016-09-01,Childs Hill Ward,17
2016-10-01,Childs Hill Ward,19
2016-11-01,Childs Hill Ward,31
2016-12-01,Childs Hill Ward,20
2017-01-01,Childs Hill Ward,25
2017-02-01,Childs Hill Ward,24
2017-03-01,Childs Hill Ward,34
2017-04-01,Childs Hill Ward,20
2017-05-01,Childs Hill Ward,24
2017-06-01,Childs Hill Ward,18
2017-07-01,Childs Hill Ward,24
2017-08-01,Childs Hill Ward,30
2017-09-01,Childs Hill Ward,32
2017-10-01,Childs Hill Ward,27
2017-11-01,Childs Hill Ward,27
2017-12-01,Childs Hill Ward,30
2018-01-01,Childs Hill Ward,20
2018-02-01,Childs Hill Ward,21
2018-03-01,Childs Hill Ward,26
2018-04-01,Childs Hill Ward,29
2018-05-01,Childs Hill Ward,19
2018-06-01,Childs Hill Ward,26
2018-07-01,Childs Hill Ward,23
2018-08-01,Childs Hill Ward,32
2018-09-01,Childs Hill Ward,24
2018-10-01,Childs Hill Ward,30
2018-11-01,Childs Hill Ward,41
2018-12-01,Childs Hill Ward,28
2019-01-01,Childs Hill Ward,23
2019-02-01,Childs Hill Ward,35
2019-03-01,Childs Hill Ward,29
2019-04-01,Childs Hill Ward,26
2019-05-01,Childs Hill Ward,23
2019-06-01,Childs Hill Ward,19
2019-07-01,Childs Hill Ward,26
2019-08-01,Childs Hill Ward,21
2019-09-01,Childs Hill Ward,27
2019-10-01,Childs Hill Ward,25
2019-11-01,Childs Hill Ward,21
2019-12-01,Childs Hill Ward,18
2020-01-01,Childs Hill Ward,24
2020-02-01,Childs Hill Ward,21
2020-03-01,Childs Hill Ward,25
2020-04-01,Childs Hill Ward,23
2020-05-01,Childs Hill Ward,21
2020-06-01,Childs Hill Ward,21
2020-07-01,Childs Hill Ward,20
2020-08-01,Childs Hill Ward,23
2020-09-01,Childs Hill Ward,19
2020-10-01,Childs Hill Ward,22
2020-11-01,Childs Hill Ward,30
2020-12-01,Childs Hill Ward,23
2021-01-01,Childs Hill Ward,24
2021-02-01,Childs Hill Ward,21
2021-03-01,Childs Hill Ward,25
2021-04-01,Childs Hill Ward,23
2021-05-01,Childs Hill Ward,21
2021-06-01,Childs Hill Ward,21
2021-07-01,Childs Hill Ward,20
2021-08-01,Childs Hill Ward,23
2021-09-01,Childs Hill Ward,19
2021-10-01,Childs Hill Ward,22
2021-11-01,Childs Hill Ward,30
2021-12-01,Childs Hill Ward,23
2022-01-01,Childs Hill Ward,24
2022-02-01,Childs Hill Ward,21
2022-03-01,Childs Hill Ward,22
2022-04-01,Childs Hill Ward,25
2022-05-01,Childs Hill Ward,33
2022-06-01,Childs Hill Ward,23
2022-07-01,Childs Hill Ward,23
2022-08-01,Childs Hill Ward,22
2022-09-01,Childs Hill Ward,25
2022-10-01,Childs Hill Ward,33
2022-11-01,Childs Hill Ward,37
2022-12-01,Childs Hill Ward,24
2023-01-01,Childs Hill Ward,27
2023-02-01,Childs Hill Ward,31
2010-12-01,Colindale North Ward,10
2011-01-01,Colindale North Ward,8
2011-02-01,Colindale North Ward,11
2011-03-01,Colindale North Ward,10
2011-04-01,Colindale North Ward,8
2011-05-01,Colindale North Ward,14
2011-06-01,Colindale North Ward,15
2011-07-01,Colindale North Ward,9
2011-08-01,Colindale North Ward,11
2011-09-01,Colindale North Ward,7
2011-10-01,Colindale North Ward,10
2011-11-01,Colindale North Ward,8
2011-12-01,Colindale North Ward,15
2012-01-01,Colindale North Ward,11
2012-02-01,Colindale North Ward,6
2012-03-01,Colindale North Ward,6
2012-04-01,Colindale North Ward,9
2012-05-01,Colindale North Ward,8
2012-06-01,Colindale North Ward,8
2012-07-01,Colindale North Ward,11
2012-08-01,Colindale North Ward,10
2012-09-01,Colindale North Ward,11
2012-10-01,Colindale North Ward,10
2012-11-01,Colindale North Ward,13
2012-12-01,Colindale North Ward,9
2013-01-01,Colindale North Ward,13
2013-02-01,Colindale North Ward,10
2013-03-01,Colindale North Ward,13
2013-04-01,Colindale North Ward,14
2013-05-01,Colindale North Ward,10
2013-06-01,Colindale North Ward,16
2013-07-01,Colindale North Ward,12
2013-08-01,Colindale North Ward,12
2013-09-01,Colindale North Ward,10
2013-10-01,Colindale North Ward,8
2013-11-01,Colindale North Ward,9
2013-12-01,Colindale North Ward,11
2014-01-01,Colindale North Ward,12
2014-02-01,Colindale North Ward,7
2014-03-01,Colindale North Ward,18
2014-04-01,Colindale North Ward,14
2014-05-01,Colindale North Ward,14
2014-06-01,Colindale North Ward,9
2014-07-01,Colindale North Ward,12
2014-08-01,Colindale North Ward,8
2014-09-01,Colindale North Ward,9
2014-10-01,Colindale North Ward,10
2014-11-01,Colindale North Ward,16
2014-12-01,Colindale North Ward,8
2015-01-01,Colindale North Ward,14
2015-02-01,Colindale North Ward,9
2015-03-01,Colindale North Ward,8
2015-04-01,Colindale North Ward,11
2015-05-01,Colindale North Ward,10
2015-06-01,Colindale North Ward,11
2015-07-01,Colindale North Ward,7
2015-08-01,Colindale North Ward,14
2015-09-01,Colindale North Ward,10
2015-10-01,Colindale North Ward,9
2015-11-01,Colindale North Ward,10
2015-12-01,Colindale North Ward,19
2016-01-01,Colindale North Ward,18
2016-02-01,Colindale North Ward,12
2016-03-01,Colindale North Ward,10
2016-04-01,Colindale North Ward,9
2016-05-01,Colindale North Ward,8
2016-06-01,Colindale North Ward,11
2016-07-01,Colindale North Ward,9
2016-08-01,Colindale North Ward,7
2016-09-01,Colindale North Ward,9
2016-10-01,Colindale North Ward,11
2016-11-01,Colindale North Ward,14
2016-12-01,Colindale North Ward,16
2017-01-01,Colindale North Ward,10
2017-02-01,Colindale North Ward,8
2017-03-01,Colindale North Ward,11
2017-04-01,Colindale North Ward,12
2017-05-01,Colindale North Ward,10
2017-06-01,Colindale North Ward,9
2017-07-01,Colindale North Ward,16
2017-08-01,Colindale North Ward,13
2017-09-01,Colindale North Ward,10
2017-10-01,Colindale North Ward,7
2017-11-01,Colindale North Ward,10
2017-12-01,Colindale North Ward,7
2018-01-01,Colindale North Ward,9
2018-02-01,Colindale North Ward,10
2018-03-01,Colindale North Ward,11
2018-04-01,Colindale North Ward,10
2018-05-01,Colindale North Ward,11
2018-06-01,Colindale North Ward,9
2018-07-01,Colindale North Ward,14
2018-08-01,Colindale North Ward,10
2018-09-01,Colindale North Ward,11
2018-10-01,Colindale North Ward,8
2018-11-01,Colindale North Ward,14
2018-12-01,Colindale North Ward,11
2019-01-01,Colindale North Ward,12
2019-02-01,Colindale North Ward,10
2019-03-01,Colindale North Ward,8
2019-04-01,Colindale North Ward,8
2019-05-01,Colindale North Ward,11
2019-06-01,Colindale North Ward,9
2019-07-01,Colindale North Ward,10
2019-08-01,Colindale North Ward,15
2019-09-01,Colindale North Ward,7
2019-10-01,Colindale North Ward,9
2019-11-01,Colindale North Ward,17
2019-12-01,Colindale North Ward,13
2020-01-01,Colindale North Ward,10
2020-02-01,Colindale North Ward,7
2020-03-01,Colindale North Ward,9
2020-04-01,Colindale North Ward,9
2020-05-01,Colindale North Ward,8
2020-06-01,Colindale North Ward,9
2020-07-01,Colindale North Ward,10
2020-08-01,Colindale North Ward,10
2020-09-01,Colindale North Ward,8
2020-10-01,Colindale North Ward,7
2020-11-01,Colindale North Ward,10
2020-12-01,Colindale North Ward,10
2021-01-01,Colindale North Ward,10
2021-02-01,Colindale North Ward,7
2021-03-01,Colindale North Ward,9
2021-04-01,Colindale North Ward,9
2021-05-01,Colindale North Ward,8
2021-06-01,Colindale North Ward,9
2021-07-01,Colindale North Ward,10
2021-08-01,Colindale North Ward,10
2021-09-01,Colindale North Ward,8
2021-10-01,Colindale North Ward,7
